Var1,Weighted
C1orf85,-0.498920072382757
RP11-800K23.2,-0.498877199245099
C20orf160,-0.498848993312327
IMPAD1,-0.498788008034369
FSD1,-0.498690251190133
RB1,-0.498689455221874
SNORD89,-0.49850444450958
COQ10B,-0.498500714483529
TP53BP2,-0.49844854978527
ZNRF3,-0.498447411613804
MRPS34,-0.498441846136048
CCT7,-0.498427225173321
CD200,-0.498423510804771
DNAJC10,-0.498403990073913
ENKUR,-0.498402409488864
AGTRAP,-0.498368129028533
MRPL43,-0.49836553420012
ARAF,-0.498345784371885
CTD-2325P2.4,-0.49829516517968
TESC,-0.498245362510479
C16orf45,-0.498206512839765
FEZ2,-0.498206304926515
YBX1P10,-0.498199741473483
PHYHD1,-0.498153883762913
VPS37C,-0.498137092952116
GNG12,-0.498131833146388
CALM1P1,-0.498117595041417
WWTR1,-0.498112434351839
CSF1,-0.498054113451256
RP11-200K10.1,-0.497963932062971
ATP6V1F,-0.497938076418012
DDX50,-0.497930597741369
OGFRL1,-0.49790949182876
SNORA31,-0.497891928891337
RP11-290D2.4,-0.497891928891337
PRMT2,-0.497869916849684
EHD3,-0.497869051846458
TNS3,-0.497755373372397
PIEZO1,-0.497596760069307
G3BP1,-0.49755787698925
NKX2-2,-0.497550757879158
DOCK1,-0.497512247637571
RP4-639F20.3,-0.497487492040357
ARL6IP6,-0.497467571403113
ATP5A1,-0.497431403782728
GBA,-0.497400967977053
RP11-281O15.7,-0.497359827183579
LENG1,-0.497327848373292
C10orf26,-0.497284667839174
ENC1,-0.497257422625626
AP000282.2,-0.497153012775667
FAM43A,-0.497144350077927
RP11-179H18.8,-0.497135886005129
TBL1X,-0.497076414260227
IQGAP1,-0.496985125145707
ALG14,-0.496954686868306
CAMKV,-0.496943947630326
TNFRSF1B,-0.496826703095128
TUBB,-0.496802796581755
ZNF275,-0.496759429920741
COPS7A,-0.496731098469794
ARHGEF26,-0.496690577002408
GPR146,-0.496585495676628
RP11-615J4.4,-0.496518552932622
TOM1L2,-0.496504396215549
CFL1P2,-0.496473086641831
LDLRAD2,-0.496446468374961
TRAPPC2L,-0.496357698699681
KHNYN,-0.496304953522488
C12orf10,-0.496268369723437
GRIN2C,-0.496242995928745
ZNHIT3,-0.496219524329369
PLIN2,-0.49619269733701
HPCA,-0.496192250937449
RPL7AP11,-0.496141534118824
IFI16,-0.496126619734832
RP11-411B6.6,-0.496077954830217
ZHX2,-0.4960601378953
LMAN1,-0.495887816879206
UBE2D4,-0.495883084354937
SIPA1L2,-0.495842894084999
SUCLG2,-0.495756920923133
CA5B-AS1,-0.49574315727229
MFNG,-0.4956553545029
MED11,-0.495537954036752
TOX4,-0.495536725718478
TBX3,-0.495495986967191
AC008738.2,-0.495483823607241
AC093110.3,-0.495478117025664
B4GALT1,-0.495473914703656
GPSM3,-0.495469301288214
TEX264,-0.49544201376858
LEPROTL1,-0.495413060185539
GBE1,-0.495377996217143
EEF1A2,-0.495349838581138
ARHGAP17,-0.49533947676463
ZBTB7B,-0.495310424059863
AC003102.3,-0.495220516970632
SMAD3,-0.495194805549556
MGEA5,-0.495188891876864
KCTD6,-0.495185981616959
GSTM3,-0.495133849375635
NOTCH1,-0.495083008808368
PAK4,-0.495010290394222
THSD1,-0.495003203015539
NUTF2,-0.495000601730365
SLC25A33,-0.49494292108237
